modelo,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
SVC,0.8212290502793296,0.8149288451012588,0.8032279314888011,0.8079914186108876,0.8198025887295777,0.8212290502793296,0.819539139853571
LinearSVC,0.8156424581005587,0.8080163043478261,0.7986824769433465,0.8026065162907268,0.814147133835317,0.8156424581005587,0.8142255079038377
RandomForest,0.8100558659217877,0.8200061274509804,0.7752305665349144,0.7869047619047619,0.8147079362471246,0.8100558659217877,0.8029928172386271
NuSVC,0.8044692737430168,0.7992296918767507,0.7814888010540184,0.7879218712975187,0.802870757241444,0.8044692737430168,0.801490741302827
GradientBoosting,0.8044692737430168,0.8153488372093023,0.7679841897233202,0.7797194191484125,0.8097024814862933,0.8044692737430168,0.7966318197880587
AdaBoost,0.7932960893854749,0.7820614732379438,0.7805006587615283,0.7812530964098161,0.7927735490995431,0.7932960893854749,0.793009351457483
DecisionTree,0.770949720670391,0.7587154733172432,0.7542160737812912,0.7562198970270719,0.7693879018593509,0.770949720670391,0.769945414512892
KNeighborsClassifier,0.7653631284916201,0.7547235343150875,0.7415678524374176,0.7463562753036437,0.7623765757403126,0.7653631284916201,0.7622599687874607
MLPClassifier,0.7541899441340782,0.741276815714655,0.7459815546772068,0.7432185706833594,0.7573203995084838,0.7541899441340782,0.755376038561183
GaussianNB,0.4301675977653631,0.5112975391498882,0.5066534914361001,0.4017693315858454,0.5392498718958169,0.4301675977653631,0.37191474406378816
